2016-11-30 00:23:41,075 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,086 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,092 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,098 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,104 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,115 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,120 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,126 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,133 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,148 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,153 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,159 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,165 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,177 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,184 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,189 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,195 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,206 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,213 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,219 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,225 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,235 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,241 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,247 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,253 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,264 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,270 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,276 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,282 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,294 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,301 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,309 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,315 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,325 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,330 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,336 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,342 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,353 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,359 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,364 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,373 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,384 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,390 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,395 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,401 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,413 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,418 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,424 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,430 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,441 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,446 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,452 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,459 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,469 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,475 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,481 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,487 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,499 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,505 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,512 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,518 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,530 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,536 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,542 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,549 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,559 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,565 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,571 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,577 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,588 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
2016-11-30 00:23:41,593 - database_transactions - INFO - Database Error: ('UNIQUE constraint failed: contactos.email',)
